imdb_id;movie_title;genre
tt0499549;Avatar ;Action
tt0499549;Avatar ;Adventure
tt0499549;Avatar ;Fantasy
tt0449088;Pirates of the Caribbean: At World's End ;Action
tt0449088;Pirates of the Caribbean: At World's End ;Adventure
tt0449088;Pirates of the Caribbean: At World's End ;Fantasy
tt2379713;Spectre ;Action
tt2379713;Spectre ;Adventure
tt2379713;Spectre ;Thriller
tt1345836;The Dark Knight Rises ;Action
tt1345836;The Dark Knight Rises ;Thriller
tt0401729;John Carter ;Action
tt0401729;John Carter ;Adventure
tt0401729;John Carter ;Sci-Fi
tt0413300;Spider-Man 3 ;Action
tt0413300;Spider-Man 3 ;Adventure
tt0413300;Spider-Man 3 ;Romance
tt0398286;Tangled ;Adventure
tt0398286;Tangled ;Animation
tt0398286;Tangled ;Comedy
tt2395427;Avengers: Age of Ultron ;Action
tt2395427;Avengers: Age of Ultron ;Adventure
tt2395427;Avengers: Age of Ultron ;Sci-Fi
tt0417741;Harry Potter and the Half-Blood Prince ;Adventure
tt0417741;Harry Potter and the Half-Blood Prince ;Family
tt0417741;Harry Potter and the Half-Blood Prince ;Fantasy
tt2975590;Batman v Superman: Dawn of Justice ;Action
tt2975590;Batman v Superman: Dawn of Justice ;Adventure
tt2975590;Batman v Superman: Dawn of Justice ;Sci-Fi
tt0348150;Superman Returns ;Action
tt0348150;Superman Returns ;Adventure
tt0348150;Superman Returns ;Sci-Fi
tt0830515;Quantum of Solace ;Action
tt0830515;Quantum of Solace ;Adventure
tt0383574;Pirates of the Caribbean: Dead Man's Chest ;Action
tt0383574;Pirates of the Caribbean: Dead Man's Chest ;Adventure
tt0383574;Pirates of the Caribbean: Dead Man's Chest ;Fantasy
tt1210819;The Lone Ranger ;Action
tt1210819;The Lone Ranger ;Adventure
tt1210819;The Lone Ranger ;Western
tt0770828;Man of Steel ;Action
tt0770828;Man of Steel ;Adventure
tt0770828;Man of Steel ;Fantasy
tt0499448;The Chronicles of Narnia: Prince Caspian ;Action
tt0499448;The Chronicles of Narnia: Prince Caspian ;Adventure
tt0499448;The Chronicles of Narnia: Prince Caspian ;Family
tt0848228;The Avengers ;Action
tt0848228;The Avengers ;Adventure
tt0848228;The Avengers ;Sci-Fi
tt1298650;Pirates of the Caribbean: On Stranger Tides ;Action
tt1298650;Pirates of the Caribbean: On Stranger Tides ;Adventure
tt1298650;Pirates of the Caribbean: On Stranger Tides ;Fantasy
tt1409024;Men in Black 3 ;Action
tt1409024;Men in Black 3 ;Adventure
tt1409024;Men in Black 3 ;Comedy
tt2310332;The Hobbit: The Battle of the Five Armies ;Adventure
tt2310332;The Hobbit: The Battle of the Five Armies ;Fantasy
tt0948470;The Amazing Spider-Man ;Action
tt0948470;The Amazing Spider-Man ;Adventure
tt0948470;The Amazing Spider-Man ;Fantasy
tt0955308;Robin Hood ;Action
tt0955308;Robin Hood ;Adventure
tt0955308;Robin Hood ;Drama
tt1170358;The Hobbit: The Desolation of Smaug ;Adventure
tt1170358;The Hobbit: The Desolation of Smaug ;Fantasy
tt0385752;The Golden Compass ;Adventure
tt0385752;The Golden Compass ;Family
tt0385752;The Golden Compass ;Fantasy
tt0360717;King Kong ;Action
tt0360717;King Kong ;Adventure
tt0360717;King Kong ;Drama
tt0120338;Titanic ;Drama
tt0120338;Titanic ;Romance
tt3498820;Captain America: Civil War ;Action
tt3498820;Captain America: Civil War ;Adventure
tt3498820;Captain America: Civil War ;Sci-Fi
tt1440129;Battleship ;Action
tt1440129;Battleship ;Adventure
tt1440129;Battleship ;Sci-Fi
tt0369610;Jurassic World ;Action
tt0369610;Jurassic World ;Adventure
tt0369610;Jurassic World ;Sci-Fi
tt1074638;Skyfall ;Action
tt1074638;Skyfall ;Adventure
tt1074638;Skyfall ;Thriller
tt0316654;Spider-Man 2 ;Action
tt0316654;Spider-Man 2 ;Adventure
tt0316654;Spider-Man 2 ;Fantasy
tt1300854;Iron Man 3 ;Action
tt1300854;Iron Man 3 ;Adventure
tt1300854;Iron Man 3 ;Sci-Fi
tt1014759;Alice in Wonderland ;Adventure
tt1014759;Alice in Wonderland ;Family
tt1014759;Alice in Wonderland ;Fantasy
tt0376994;X-Men: The Last Stand ;Action
tt0376994;X-Men: The Last Stand ;Adventure
tt0376994;X-Men: The Last Stand ;Fantasy
tt1453405;Monsters University ;Adventure
tt1453405;Monsters University ;Animation
